,,,,,,,,
,Bag,Need,Item,Packed,Note,,Bag View,% packed
,鍋具,,WOKY 塔塔鍋 - 鈦塗層可疊不沾鍋,FALSE,鹽巴、黑胡椒、白胡椒粉都在收納袋裡,,,
,鍋具,,高山瓦斯罐,FALSE,,,,
,鍋具,,一般瓦斯罐,FALSE,,,,
,這次不帶,N, Sea to Summit Sigma 折疊鍋具組,FALSE,1.2L+2.7L鍋,,,
,個人用品,,行動電源,FALSE,,,,
,個人用品,,攜帶型洗碗精/菜瓜布,TRUE,22L索爾箱,,,
,個人用品,,內衣內褲,FALSE,1套換洗的和睡衣,,,
,個人用品,,襪子,FALSE,,,,
,這次不帶,N,藍芽喇叭,FALSE,,,,
,這次不帶,N,行動電源,FALSE,,,,
,個人用品,,盥洗用品,FALSE,,,,
,這次不帶,N,吹風機,FALSE,,,,
,個人用品,,簡易藥包,FALSE,,,,
,這次不帶,N,暖暖包/懷爐,FALSE,,,,
,個人用品,,毛巾,FALSE,,,,
,個人用品,,拖鞋,FALSE,,,,
,個人用品,,濕紙巾/酒精擦,FALSE,,,,
,個人用品,,髒衣袋,FALSE,,,,
,個人用品,,耳塞,FALSE,,,,
,個人用品,,水壺,FALSE,,,,
,食材,,蘿蔔,FALSE,,,,
,食材,,玉米,FALSE,,,,
,食材,,貢丸,FALSE,,,,
,食材,,鹽味泡麵,FALSE,,,,
,食材,,蛋x4,FALSE,,,,
,食材,,蛋餅皮,FALSE,,,,
,食材,,水,FALSE,,,,
,食材,,飲料,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
,,,,FALSE,,,,
